date,tn_air_traffic_value_short,sa_air_traffic_value_short,ae_air_traffic_value_long,sa_air_traffic_value_long,tr_air_traffic_value_short,tn_air_traffic_value_long,in_inter_trade,target
2010-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75
2010-06-30,0.0,0.0,0.0,0.0,0.0,0.0,2689.2795,4.97
2010-09-30,0.0,0.0,0.0,0.0,0.0,0.0,2517.6089,2.9
2010-12-31,0.0,0.0,0.0,0.0,0.0,0.0,2574.0314,2.07
2011-03-31,0.0,0.0,0.0,0.0,0.0,0.0,2920.4315,2.43
2011-06-30,0.0,0.0,0.0,0.0,0.0,0.0,3114.635,1.61
2011-09-30,0.0,0.0,0.0,0.0,0.0,0.0,3249.28735,0.98
2011-12-31,0.0,0.0,0.0,0.0,0.0,0.0,3078.686,1.02
2012-03-31,0.0,0.0,0.0,0.0,0.0,0.0,3139.1467,1.24
2012-06-30,0.0,0.0,0.0,0.0,0.0,0.0,3434.164,0.87
2012-09-30,0.0,0.0,0.0,0.0,0.0,0.0,3266.112,1.05
2012-12-31,0.0,0.0,0.0,0.0,0.0,0.0,3361.158,-1.4
2013-03-31,0.0,0.0,0.0,0.0,0.0,0.0,3491.743,1.22
2013-06-30,0.0,0.0,0.0,0.0,0.0,0.0,3306.9895,1.84
2013-09-30,0.0,0.0,0.0,0.0,0.0,0.0,3318.783,0.72
2013-12-31,0.0,0.0,0.0,0.0,0.0,0.0,3474.217,0.44
2014-03-31,0.0,0.0,0.0,0.0,0.0,0.0,3467.885,0.81
2014-06-30,0.0,0.0,0.0,0.0,0.0,0.0,3503.111,1.07
2014-09-30,0.0,0.0,0.0,0.0,0.0,0.0,3804.506,0.82
2014-12-31,0.0,0.0,0.0,0.0,0.0,0.0,3624.066,0.64
2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0,3384.861,-1.07
2015-06-30,0.0,0.0,0.0,0.0,0.0,0.0,3166.8447,-1.06
2015-09-30,0.0,0.0,0.0,0.0,0.0,0.0,3261.9515,1.21
2015-12-31,0.0,0.0,0.0,0.0,0.0,0.0,2917.3132,0.03
2016-03-31,0.0,0.0,0.0,0.0,0.0,0.0,2900.8155,-0.63
2016-06-30,0.0,0.0,0.0,0.0,0.0,0.0,2838.9311,0.96
2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0,2943.7814,0.7
2016-12-31,0.0,0.0,0.0,0.0,0.0,0.0,2898.0471,2.25
2017-03-31,0.0,0.0,0.0,0.0,0.0,0.0,3005.7918,1.51
2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0,3214.444,1.76
2017-09-30,0.0,0.0,0.0,0.0,0.0,0.0,3019.2588,0.53
2017-12-31,0.0,0.0,0.0,0.0,0.0,0.0,3129.613,2.42
2018-03-31,0.0,0.0,0.0,0.0,0.0,0.0,3577.417,2.12
2018-06-30,0.0,0.0,0.0,0.0,0.0,0.0,3675.68,0.76
2018-09-30,0.0,0.0,0.0,0.0,0.0,0.0,3784.791,0.76
2018-12-31,0.0,0.0,0.0,0.0,0.0,0.0,3738.527,0.16
2019-03-31,0.0,3028.18,1598.725,2198.273333333333,0.0,2652.3825,3599.176,-1.05
2019-06-30,3961.7,3442.18,2736.9,3309.22,3395.55,3782.93,3936.554,-2.98
2019-09-30,4296.256666666667,3531.23,3134.6,3378.6,4046.79,4691.48,3617.188,0.23
2019-12-31,4007.11,3241.8,2953.77,3057.26,3606.403333333333,3367.96,3473.395,-1.49
2020-03-31,3540.31,3183.82,2226.056666666667,3072.11,3013.75,3007.02,3113.8584,-3.05
2020-06-30,31.57,226.43666666666667,120.42,66.29,126.98,34.49,3165.0817,-10.69
2020-09-30,781.24,567.06,436.63666666666666,584.12,1256.8,1324.67,2078.5969,12.12
2020-12-31,1056.07,1060.04,835.64,938.64,1721.92,936.38,2749.8673,6.5
2021-03-31,1207.58,1197.38,854.23,1163.58,1229.55,975.09,3061.3334,3.95
2021-06-30,1335.04,1419.74,979.1333333333332,1335.94,1288.21,1261.975,3000.83015,1.08
2021-09-30,1731.235,1672.15,1140.4,1597.32,2416.67,2156.13,2939.0953,-0.33
2021-12-31,2041.14,1718.75,1561.13,1667.1166666666668,2568.49,1879.89,3059.563,3.21
2022-03-31,1994.375,1639.68,1592.26,1581.76,1870.05,1698.69,3340.207,1.25
2022-06-30,2303.33,2115.5,1899.38,1903.7,2021.91,2431.4,3851.415,0.65
2022-09-30,2952.94,2501.35,2207.15,2454.07,2527.26,2964.07,3983.225,-0.35
2022-12-31,2597.57,2340.48,2088.36,2286.6400000000003,2248.37,2401.04,3784.029,-1.55
2023-03-31,2198.75,2069.04,2093.65,2052.1,2104.5,2188.496666666667,4171.724,-0.34
2023-06-30,2119.75,2270.2,2258.51,2266.34,2156.52,2447.55,4479.829,2.61
2023-09-30,2611.67,2295.16,2315.92,2281.79,2478.79,2586.39,4139.072,-0.69
2023-12-31,2366.67,2064.05,2091.57,1966.58,2387.04,2056.28,4309.012,0.46
2024-03-31,2060.95,2069.29,2124.0475,1977.28,2072.05,1714.8,4537.064,0.89
2024-06-30,2074.75,2091.29,2005.06,2061.01,1945.85,2223.78,4544.354,2.01
2024-09-30,2512.1,2165.86,2176.71,2075.02,2106.48,2346.7,4513.054,1.65
2024-12-31,2420.13,2173.66,1915.35,2038.87,1917.09,2080.06,4592.0235,0.26
2025-03-31,1858.7,1950.6,1791.24,1877.02,1657.06,1448.92,4444.853,2.18
2025-06-30,1454.9,2095.99,1982.77,2045.53,1730.78,1239.48,4357.908,-1.09
